Tiempo,Precio
0,29234.39
5,29239.99
10,29271.35
15,29276.54
20,29305.48
25,29304.1
30,29315.11
35,29313.66
40,29288.28
45,29275.99
50,29297.21
55,29321.75
60,29282.04
65,29265.43
70,29250.01
75,29240.52
80,29288.73
85,29286.22
90,29379.0
95,29393.27
100,29376.15
105,29367.46
110,29419.83
115,29373.37
120,29259.98
125,29315.0
130,29294.0
135,29281.99
140,29342.77
145,29345.7
150,29354.16
155,29394.94
160,29530.41
165,29512.95
170,29564.53
175,29542.8
180,29539.38
185,29459.18
190,29549.23
195,29496.57
200,29513.2
205,29508.94
210,29488.07
215,29525.02
220,29525.03
225,29521.08
230,29498.26
235,29526.27
240,29541.36
245,29469.33
250,29439.25
255,29453.25
260,29452.0
265,29377.99
270,29372.32
275,29403.04
280,29382.56
285,29369.9
290,29394.28
295,29449.13
300,29408.36
305,29411.69
310,29437.63
315,29401.54
320,29445.1
325,29441.83
330,29410.01
335,29394.46
340,29400.01
345,29437.89
350,29472.31
355,29483.41
360,29484.09
365,29465.19
370,29484.66
375,29422.04
380,29394.75
385,29432.27
390,29445.0
395,29436.98
400,29416.05
405,29422.57
410,29437.9
415,29453.64
420,29460.18
425,29449.26
430,29477.39
435,29450.01
440,29417.33
445,29398.97
450,29350.09
455,29358.1
460,29355.91
465,29391.41
470,29395.0
475,29392.48
480,29389.54
485,29340.32
490,29394.99
495,29395.02
500,29379.78
505,29412.85
510,29412.14
515,29354.57
520,29348.07
525,29314.07
530,29337.32
535,29303.0
540,29299.0
545,29302.18
550,29305.26
555,29306.85
560,29314.6
565,29352.0
570,29366.64
575,29360.71
580,29351.97
585,29375.83
590,29396.18
595,29376.86
600,29392.55
605,29381.17
610,29391.3
615,29454.56
620,29440.95
625,29423.71
630,29423.44
635,29427.23
640,29406.04
645,29405.07
650,29389.07
655,29371.44
660,29366.99
665,29407.13
670,29431.47
675,29428.88
680,29455.0
685,29446.99
690,29414.77
695,29431.85
700,29448.53
705,29435.49
710,29452.19
715,29466.65
720,29461.59
725,29480.28
730,29457.28
735,29454.0
740,29483.31
745,29471.7
750,29471.98
755,29450.52
760,29459.63
765,29465.38
770,29445.04
775,29457.71
780,29471.36
785,29380.15
790,29413.76
795,29406.25
800,29366.54
805,29340.23
810,29335.95
815,29349.13
820,29352.87
825,29359.31
830,29360.59
835,29434.99
840,29432.0
845,29396.99
